treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
5421,RickerModelWDiffusionDispersal,5.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5422,RickerModelWStochasticDispersal,5.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5423,RickerModelWDiffusionDispersal,6.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5424,RickerModelWStochasticDispersal,6.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5425,RickerModelWDiffusionDispersal,6.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5426,RickerModelWStochasticDispersal,6.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5427,RickerModelWDiffusionDispersal,6.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5428,RickerModelWStochasticDispersal,6.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5429,RickerModelWDiffusionDispersal,6.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5430,RickerModelWStochasticDispersal,6.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5431,RickerModelWDiffusionDispersal,7.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5432,RickerModelWStochasticDispersal,7.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5433,RickerModelWDiffusionDispersal,7.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5434,RickerModelWStochasticDispersal,7.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5435,RickerModelWDiffusionDispersal,7.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5436,RickerModelWStochasticDispersal,7.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5437,RickerModelWDiffusionDispersal,7.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5438,RickerModelWStochasticDispersal,7.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5439,RickerModelWDiffusionDispersal,8.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5440,RickerModelWStochasticDispersal,8.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5441,RickerModelWDiffusionDispersal,8.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5442,RickerModelWStochasticDispersal,8.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5443,RickerModelWDiffusionDispersal,8.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5444,RickerModelWStochasticDispersal,8.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5445,RickerModelWDiffusionDispersal,8.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5446,RickerModelWStochasticDispersal,8.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5447,RickerModelWDiffusionDispersal,9.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5448,RickerModelWStochasticDispersal,9.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5449,RickerModelWDiffusionDispersal,9.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
